bidding_exercise,category,month,year,quota_premium,adjusted_premium
2,Cat B: >1600cc or >97kW,Mar,2023,116201,120248.56675704203
2,Cat C: Buses,Mar,2023,85389,88363.3089802761
2,Cat D: Motorcycles,Mar,2023,12001,12419.024359956124
1,Cat A: ≤1600cc or ≤97kW,Mar,2023,88000,91065.25653496699
1,Cat B: >1600cc or >97kW,Mar,2023,115501,119524.1840346048
1,Cat C: Buses,Mar,2023,91101,94274.27199536395
1,Cat D: Motorcycles,Mar,2023,12390,12821.574187139102
2,Cat A: ≤1600cc or ≤97kW,Feb,2023,86556,89941.3940729041
2,Cat B: >1600cc or >97kW,Feb,2023,115001,119498.9401055738
2,Cat C: Buses,Feb,2023,87790,91223.65850617232
2,Cat D: Motorcycles,Feb,2023,12189,12665.73839311692
1,Cat A: ≤1600cc or ≤97kW,Feb,2023,86000,89363.64769940563
1,Cat B: >1600cc or >97kW,Feb,2023,105524,109651.2739515358
1,Cat C: Buses,Feb,2023,85119,88448.18986657799
1,Cat D: Motorcycles,Feb,2023,11602,12055.77954195935
2,Cat A: ≤1600cc or ≤97kW,Jan,2023,86000,89663.65702608587
2,Cat B: >1600cc or >97kW,Jan,2023,105459,109951.62332923243
2,Cat C: Buses,Jan,2023,77109,80393.89453051692
2,Cat D: Motorcycles,Jan,2023,11101,11573.909961006735
1,Cat A: ≤1600cc or ≤97kW,Jan,2023,80000,83408.05304752174
1,Cat B: >1600cc or >97kW,Jan,2023,102002,106347.3528369164
1,Cat C: Buses,Jan,2023,77301,80594.07385783097
1,Cat D: Motorcycles,Jan,2023,10890,11353.921221093897
2,Cat A: ≤1600cc or ≤97kW,Dec,2022,88007,92217.65827692437
2,Cat B: >1600cc or >97kW,Dec,2022,108006,113173.50210616762
2,Cat C: Buses,Dec,2022,78200,81941.44644466334
2,Cat D: Motorcycles,Dec,2022,11690,12249.303183351845
1,Cat A: ≤1600cc or ≤97kW,Dec,2022,88503,92737.38919043528
1,Cat B: >1600cc or >97kW,Dec,2022,105501,110548.65142402079
1,Cat C: Buses,Dec,2022,81501,85400.38141542846
1,Cat D: Motorcycles,Dec,2022,12100,12678.919462665297
2,Cat A: ≤1600cc or ≤97kW,Nov,2022,90589,95116.54766904663
2,Cat B: >1600cc or >97kW,Nov,2022,113881,119572.65854682907
2,Cat C: Buses,Nov,2022,81802,85890.38219235616
