"bidding_exercise","category","month","year","quota_premium","quota"
"2","Cat C: Buses","Dec",2022,78200,69
"2","Cat D: Motorcycles","Dec",2022,11690,465
"1","Cat A: ≤1600cc or ≤97kW","Dec",2022,88503,458
"1","Cat B: >1600cc or >97kW","Dec",2022,105501,427
"1","Cat C: Buses","Dec",2022,81501,69
"1","Cat D: Motorcycles","Dec",2022,12100,441
"2","Cat A: ≤1600cc or ≤97kW","Nov",2022,90589,459
"2","Cat B: >1600cc or >97kW","Nov",2022,113881,416
"2","Cat C: Buses","Nov",2022,81802,73
"2","Cat D: Motorcycles","Nov",2022,12589,445
"1","Cat A: ≤1600cc or ≤97kW","Nov",2022,87235,460
"1","Cat B: >1600cc or >97kW","Nov",2022,115388,411
"1","Cat C: Buses","Nov",2022,76302,70
"1","Cat D: Motorcycles","Nov",2022,13189,441
"2","Cat A: ≤1600cc or ≤97kW","Oct",2022,81089,559
"2","Cat B: >1600cc or >97kW","Oct",2022,110000,470
"2","Cat C: Buses","Oct",2022,70201,91
"2","Cat D: Motorcycles","Oct",2022,12801,516
"1","Cat A: ≤1600cc or ≤97kW","Oct",2022,80501,564
"1","Cat B: >1600cc or >97kW","Oct",2022,95856,474
"1","Cat C: Buses","Oct",2022,65991,84
"1","Cat D: Motorcycles","Oct",2022,11751,505
"2","Cat A: ≤1600cc or ≤97kW","Sep",2022,84000,543
"2","Cat B: >1600cc or >97kW","Sep",2022,108051,471
"2","Cat C: Buses","Sep",2022,67001,83
"2","Cat D: Motorcycles","Sep",2022,11589,512
"1","Cat A: ≤1600cc or ≤97kW","Sep",2022,86000,556
"1","Cat B: >1600cc or >97kW","Sep",2022,113000,470
"1","Cat C: Buses","Sep",2022,64989,85
"1","Cat D: Motorcycles","Sep",2022,11301,515
"2","Cat A: ≤1600cc or ≤97kW","Aug",2022,87889,551
"2","Cat B: >1600cc or >97kW","Aug",2022,112001,471
"2","Cat C: Buses","Aug",2022,59090,87
"2","Cat D: Motorcycles","Aug",2022,11101,510
"1","Cat A: ≤1600cc or ≤97kW","Aug",2022,80000,554
"1","Cat B: >1600cc or >97kW","Aug",2022,107001,474
"1","Cat C: Buses","Aug",2022,56089,95
"1","Cat D: Motorcycles","Aug",2022,11000,573
"2","Cat A: ≤1600cc or ≤97kW","Jul",2022,78899,628
"2","Cat B: >1600cc or >97kW","Jul",2022,110003,527
"2","Cat C: Buses","Jul",2022,54889,102
"2","Cat D: Motorcycles","Jul",2022,10910,561
"1","Cat A: ≤1600cc or ≤97kW","Jul",2022,78001,617
"1","Cat B: >1600cc or >97kW","Jul",2022,107800,527
"1","Cat C: Buses","Jul",2022,54001,102
"1","Cat D: Motorcycles","Jul",2022,10889,582
"2","Cat A: ≤1600cc or ≤97kW","Jun",2022,74989,614
"2","Cat B: >1600cc or >97kW","Jun",2022,106001,531
"2","Cat C: Buses","Jun",2022,53011,103
"2","Cat D: Motorcycles","Jun",2022,10302,570
"1","Cat A: ≤1600cc or ≤97kW","Jun",2022,73801,612
"1","Cat B: >1600cc or >97kW","Jun",2022,100684,528
"1","Cat C: Buses","Jun",2022,53002,107
"1","Cat D: Motorcycles","Jun",2022,10000,563
"2","Cat A: ≤1600cc or ≤97kW","May",2022,68001,625
"2","Cat B: >1600cc or >97kW","May",2022,95889,528
"2","Cat C: Buses","May",2022,51501,103
"2","Cat D: Motorcycles","May",2022,9490,609
"1","Cat A: ≤1600cc or ≤97kW","May",2022,70901,612
"1","Cat B: >1600cc or >97kW","May",2022,92090,527
"1","Cat C: Buses","May",2022,50890,104
"1","Cat D: Motorcycles","May",2022,9489,563
"2","Cat A: ≤1600cc or ≤97kW","Apr",2022,68699,532
"2","Cat B: >1600cc or >97kW","Apr",2022,90002,560
"2","Cat C: Buses","Apr",2022,52002,76
"2","Cat D: Motorcycles","Apr",2022,9801,404
"1","Cat A: ≤1600cc or ≤97kW","Apr",2022,72996,536
"1","Cat B: >1600cc or >97kW","Apr",2022,98389,550
"1","Cat C: Buses","Apr",2022,54901,85
"1","Cat D: Motorcycles","Apr",2022,10503,407
"2","Cat A: ≤1600cc or ≤97kW","Mar",2022,71556,543
"2","Cat B: >1600cc or >97kW","Mar",2022,98889,555
"2","Cat C: Buses","Mar",2022,51504,91
"2","Cat D: Motorcycles","Mar",2022,10501,409
"1","Cat A: ≤1600cc or ≤97kW","Mar",2022,68501,531
"1","Cat B: >1600cc or >97kW","Mar",2022,94889,551
"1","Cat C: Buses","Mar",2022,48889,76
"1","Cat D: Motorcycles","Mar",2022,11400,405
"2","Cat A: ≤1600cc or ≤97kW","Feb",2022,63000,536
"2","Cat B: >1600cc or >97kW","Feb",2022,93590,559
"2","Cat C: Buses","Feb",2022,46501,76
"2","Cat D: Motorcycles","Feb",2022,10589,420
"1","Cat A: ≤1600cc or ≤97kW","Feb",2022,60761,542
"1","Cat B: >1600cc or >97kW","Feb",2022,86102,550
"1","Cat C: Buses","Feb",2022,44001,80
"1","Cat D: Motorcycles","Feb",2022,10010,406
"2","Cat A: ≤1600cc or ≤97kW","Jan",2022,57898,531
"2","Cat B: >1600cc or >97kW","Jan",2022,82001,592
"2","Cat C: Buses","Jan",2022,43001,91
"2","Cat D: Motorcycles","Jan",2022,10000,416
"1","Cat A: ≤1600cc or ≤97kW","Jan",2022,57599,543
"1","Cat B: >1600cc or >97kW","Jan",2022,77700,587
"1","Cat C: Buses","Jan",2022,42200,90
"1","Cat D: Motorcycles","Jan",2022,9689,431
"2","Cat A: ≤1600cc or ≤97kW","Dec",2021,58801,534
"2","Cat B: >1600cc or >97kW","Dec",2021,80989,595
"2","Cat C: Buses","Dec",2021,44000,90
"2","Cat D: Motorcycles","Dec",2021,9601,426
"1","Cat A: ≤1600cc or ≤97kW","Dec",2021,57010,536
"1","Cat B: >1600cc or >97kW","Dec",2021,80401,593
"1","Cat C: Buses","Dec",2021,45000,93
"1","Cat D: Motorcycles","Dec",2021,9401,420
"2","Cat A: ≤1600cc or ≤97kW","Nov",2021,55001,537
"2","Cat B: >1600cc or >97kW","Nov",2021,79601,594
"2","Cat C: Buses","Nov",2021,43502,91
"2","Cat D: Motorcycles","Nov",2021,9381,412
"1","Cat A: ≤1600cc or ≤97kW","Nov",2021,53709,536
"1","Cat B: >1600cc or >97kW","Nov",2021,82801,587
"1","Cat C: Buses","Nov",2021,42001,92
"1","Cat D: Motorcycles","Nov",2021,9381,417
"2","Cat A: ≤1600cc or ≤97kW","Oct",2021,52709,811
"2","Cat B: >1600cc or >97kW","Oct",2021,80210,774
"2","Cat C: Buses","Oct",2021,40501,126
"2","Cat D: Motorcycles","Oct",2021,9310,450
"1","Cat A: ≤1600cc or ≤97kW","Oct",2021,47001,816
"1","Cat B: >1600cc or >97kW","Oct",2021,70200,774
"1","Cat C: Buses","Oct",2021,38890,125
"1","Cat D: Motorcycles","Oct",2021,9052,444
"2","Cat A: ≤1600cc or ≤97kW","Sep",2021,48000,803
"2","Cat B: >1600cc or >97kW","Sep",2021,68310,772
"2","Cat C: Buses","Sep",2021,39000,120
"2","Cat D: Motorcycles","Sep",2021,9089,449
"1","Cat A: ≤1600cc or ≤97kW","Sep",2021,47000,804
"1","Cat B: >1600cc or >97kW","Sep",2021,62600,791
"1","Cat C: Buses","Sep",2021,40001,122
"1","Cat D: Motorcycles","Sep",2021,9689,445
"2","Cat A: ≤1600cc or ≤97kW","Aug",2021,46689,806
"2","Cat B: >1600cc or >97kW","Aug",2021,61001,794
"2","Cat C: Buses","Aug",2021,40010,118
"2","Cat D: Motorcycles","Aug",2021,9500,451
"1","Cat A: ≤1600cc or ≤97kW","Aug",2021,45189,805
"1","Cat B: >1600cc or >97kW","Aug",2021,56001,771
"1","Cat C: Buses","Aug",2021,42589,118
"1","Cat D: Motorcycles","Aug",2021,8899,449
"2","Cat A: ≤1600cc or ≤97kW","Jul",2021,47010,836
"2","Cat B: >1600cc or >97kW","Jul",2021,59501,819
"2","Cat C: Buses","Jul",2021,39523,166
"2","Cat D: Motorcycles","Jul",2021,8689,655
"1","Cat A: ≤1600cc or ≤97kW","Jul",2021,45001,867
"1","Cat B: >1600cc or >97kW","Jul",2021,56100,840
